locid;denot;municipality;subarea_nr;apprentice;R_00_04m;R_00_04f;R_05_09m;R_05_09f;R_10_14m;R_10_14f;R_15_17m;R_15_17f;R_18_19m;R_18_19f;R_20_24m;R_20_24f;R_25_29m;R_25_29f;R_30_34m;R_30_34f;R_35_39m;R_35_39f;R_40_44m;R_40_44f;R_45_49m;R_45_49f;R_50_54m;R_50_54f;R_55_59m;R_55_59f;R_60_64m;R_60_64f;R_65_69m;R_65_69f;R_70_74m;R_70_74f;R_75_79m;R_75_79f;R_80_84m;R_80_84f;R_85_89m;R_85_89f;R_90_xxm;R_90_xxf;HH_A2_C1;HH_A2_C2;HH_A2_C3;HH_A2_C4;HH_A2_C5;HH_A2_C0;HH_A1_C1;HH_A1_C2;HH_A1_C3;HH_A1_C4;HH_A1_C5;HH_A1_C0;E_Sec01;E_Sec02;E_Sec03;E_Sec04;E_Sec05;E_Sec06;E_Sec07;E_Sec08;E_Sec09;E_Sec10;F_Sec01;F_Sec02;F_Sec03;F_Sec04;F_Sec05;F_Sec06;F_Sec07;F_Sec08;F_Sec09;F_Sec10;FS_Sec01;FS_Sec02;FS_Sec03;FS_Sec04;FS_Sec05;FS_Sec06;FS_Sec07;FS_Sec08;FS_Sec09;FS_Sec10;R_wse_m;R_wse_f;outComm_m;outComm_f;HH_pair;ED_18_xx_02;ED_18_xx_03;ED_18_xx_04;ED_18_xx_05
3024;Teufen (AR);3024;15;752;148;125;168;161;170;162;99;86;66;58;113;134;151;128;186;178;234;249;212;206;187;194;188;185;182;192;145;157;120;134;105;152;101;139;65;100;32;68;13;42;179;231;86;21;1;152;26;26;6;0;0;38;147;691;178;174;172;38;261;490;0;255;65;78;37;35;27;14;96;68;0;25;2.3;8.9;4.8;5;6.4;2.7;2.7;7.2;10;10.2;1582;1234;837;794;728;0.151311;0.469401;0.084734;0.272024
3025;Trogen;3025;15;902;40;39;72;72;82;72;57;47;38;31;44;36;34;42;61;52;62;81;93;77;74;68;74;54;57;46;38;41;35;32;29;39;17;34;13;32;14;22;5;11;44;81;41;11;1;56;15;8;2;1;0;7;79;78;34;48;39;19;44;253;0;294;39;24;8;12;11;2;18;24;0;19;2;3.3;4.3;4;3.5;9.5;2.4;10.5;10;15.5;534;366;261;225;177;0.160377;0.42348;0.104822;0.246331
3031;Grub (AR);3031;15;132;38;25;47;38;39;46;19;23;13;15;25;19;23;22;28;37;45;51;43;34;31;40;34;36;41;31;24;18;17;32;15;15;13;20;7;8;6;18;0;2;28;51;23;7;2;28;8;5;1;0;0;7;50;75;21;19;13;2;14;52;0;18;21;19;5;6;4;1;7;7;0;3;2.4;3.9;4.2;3.2;3.3;2;2;7.4;10;6;292;228;199;183;109;0.188082;0.513966;0.052142;0.212291
3032;Heiden;3032;15;619;114;100;138;123;149;145;91;73;61;48;88;80;99;104;132;131;157;192;184;180;139;134;137;120;119;124;81;112;94;109;61;78;62;87;30;57;25;55;10;40;144;185;74;17;2;100;44;16;9;0;0;30;95;703;277;165;158;24;111;658;0;125;39;40;31;37;26;6;44;47;0;20;2.4;17.6;8.9;4.5;6.1;4;2.5;14;10;6.3;1154;905;434;445;459;0.241958;0.477389;0.068065;0.178555
3033;Lutzenberg;3033;15;153;31;31;60;34;52;49;34;23;23;16;59;28;34;38;52;56;65;60;68;60;50;48;48;34;16;23;27;26;24;19;20;28;16;21;10;18;5;10;3;4;50;59;24;5;1;25;12;5;0;2;1;6;33;94;20;3;28;0;24;73;0;41;15;19;8;2;5;0;13;18;0;6;2.2;4.9;2.5;1.5;5.6;18;1.8;4.1;10;6.8;402;261;264;206;145;0.182979;0.495035;0.069504;0.22695
3034;Rehetobel;3034;15;171;61;48;57;44;47;62;35;29;24;19;35;29;46;34;55;85;78;74;63;73;65;63;50;57;47;41;37;44;37;47;40;38;21;37;19;42;8;28;5;18;43;71;32;15;1;39;12;6;1;0;0;9;70;181;25;18;28;0;41;171;0;25;29;30;9;7;8;0;16;16;0;5;2.4;6;2.8;2.6;3.5;18;2.6;10.7;10;5;452;356;250;238;220;0.182018;0.445175;0.091009;0.232456
3035;Reute (AR);3035;15;89;16;13;30;26;33;25;13;13;9;8;20;8;18;10;26;26;32;31;32;31;22;22;24;22;19;13;17;18;12;18;15;18;15;20;6;9;4;14;4;4;24;25;18;5;1;17;1;3;2;0;0;3;40;12;14;20;20;0;23;36;0;11;20;9;6;4;7;0;3;9;0;2;2;1.3;2.3;5;2.9;18;7.7;4;10;5.5;208;138;138;110;81;0.22865;0.495868;0.071625;0.179063
3036;Wald (AR);3036;15;117;40;25;44;35;37;29;19;19;13;12;26;20;20;24;28;28;31;31;32;37;29;33;32;30;25;18;19;14;15;14;13;18;11;18;10;12;7;6;1;6;26;39;19;10;3;29;5;6;4;0;0;1;81;120;9;12;17;1;8;20;0;18;34;17;3;2;7;1;5;10;0;4;2.4;7.1;3;6;2.4;1;1.6;2;10;4.5;248;187;134;123;77;0.183721;0.488372;0.111628;0.188372
3037;Walzenhausen;3037;15;324;53;69;83;59;78;79;43;36;28;24;56;40;44;49;80;75;94;109;117;78;80;75;80;75;67;56;52;45;51;50;38;42;35;34;14;37;13;24;4;15;64;87;41;16;4;64;12;5;2;1;1;16;71;312;255;35;87;2;43;284;0;34;37;38;11;8;7;1;18;24;0;11;1.9;8.2;23.2;4.4;12.4;2;2.4;11.8;10;3.1;641;434;307;262;230;0.203231;0.470238;0.066327;0.187075
3038;Wolfhalden;3038;15;252;41;49;63;46;68;42;40;29;27;20;37;33;43;44;65;51;66;80;62;72;73;55;60;48;49;48;45;50;41;35;32;36;29;38;11;19;10;21;3;8;66;65;28;5;3;49;16;10;2;1;0;12;64;386;15;14;40;1;39;34;0;22;29;27;4;6;14;1;14;14;0;7;2.2;14.3;3.8;2.3;2.9;1;2.8;2.4;10;3.1;516;374;315;273;205;0.182217;0.549945;0.060373;0.182217
3101;Appenzell;3101;16;1664;177;137;197;186;183;191;124;104;82;70;155;157;195;188;187;187;221;219;206;202;190;153;167;135;138;132;125;126;107;118;95;144;65;111;61;74;38;54;7;39;170;233;138;32;2;159;33;19;6;1;0;25;246;1109;275;524;273;151;237;382;0;265;109;100;44;83;34;14;56;43;0;40;2.3;11.1;6.3;6.3;8;10.8;4.2;8.9;10;6.6;1648;1194;491;498;527;0.309524;0.444805;0.056999;0.163059
3102;Gonten;3102;16;159;49;36;55;58;73;48;43;26;28;18;35;31;46;34;37;44;60;47;41;37;46;44;45;32;41;26;26;32;24;24;19;21;21;39;19;27;6;22;3;16;36;41;34;25;8;44;6;3;1;0;0;7;236;131;31;36;51;9;9;48;0;10;111;17;6;10;11;3;4;6;0;1;2.1;7.7;5.2;3.6;4.6;3;2.3;8;10;10;414;261;170;142;97;0.396552;0.435737;0.040752;0.112853
3103;Rüte;3103;16;417;126;107;136;128;134;93;58;56;39;38;75;66;107;104;104;113;124;111;99;95;86;77;92;74;71;60;61;61;82;70;56;58;38;45;21;23;7;13;2;5;88;140;87;33;9;105;13;4;3;0;0;17;343;156;78;61;82;4;39;34;0;33;164;32;25;14;15;2;20;10;0;6;2.1;4.9;3.1;4.4;5.5;2;2;3.4;10;5.5;841;608;518;447;223;0.267361;0.49375;0.056944;0.163194
3104;Schlatt-Haslen;3104;16;156;41;38;46;63;59;54;25;34;16;22;45;15;27;23;30;35;56;59;33;34;34;35;36;17;28;18;26;26;33;26;21;22;17;15;7;17;7;4;0;2;22;42;47;24;3;40;4;1;0;0;0;4;276;58;18;1;21;1;15;1;0;12;126;15;9;1;7;1;2;1;0;2;2.2;3.9;2;1;3;1;7.5;1;10;6;340;237;163;143;68;0.4294;0.433269;0.038685;0.075435
3105;Schwende;3105;16;0;83;73;87;75;84;61;44;41;30;27;44;46;58;62;67;72;96;77;62;61;60;57;68;55;47;35;43;41;43;48;42;42;22;25;12;19;6;13;2;5;65;102;53;12;6;62;8;5;1;1;1;15;170;137;43;35;229;15;99;47;0;20;79;16;13;9;22;5;28;3;0;6;2.2;8.6;3.3;3.9;10.4;3;3.5;15.7;10;3.3;567;408;356;305;156;0.3;0.483333;0.05625;0.153125
3111;Oberegg;3111;16;317;52;57;70;63;64;69;42;30;28;20;49;42;36;49;59;66;73;63;82;67;43;61;56;56;64;44;41;40;58;50;31;46;31;28;12;18;10;18;2;6;60;72;40;15;5;60;14;3;3;0;0;8;135;297;17;44;49;6;25;8;0;25;68;31;4;14;17;2;13;4;0;4;2;9.6;4.3;3.1;2.9;3;1.9;2;10;6.3;509;367;274;242;201;0.283648;0.494994;0.053393;0.151279
3201;Häggenschwil;3201;17;230;47;49;52;64;53;52;26;29;18;19;26;22;35;27;57;46;55;62;46;46;31;21;24;28;25;22;19;19;15;16;19;27;18;11;3;6;2;5;0;1;29;56;33;16;6;33;9;3;2;2;0;6;152;38;26;11;24;6;10;12;0;29;57;11;7;4;6;2;3;2;0;2;2.7;3.5;3.7;2.8;4;3;3.3;6;10;14.5;315;228;178;156;76;0.196809;0.5;0.056738;0.234043
3202;Muolen;3202;17;93;47;38;38;41;40;42;25;26;16;17;35;27;34;37;42;30;43;53;45;34;41;30;38;27;26;28;26;18;14;18;16;21;14;14;10;12;6;3;1;1;45;31;19;25;3;33;5;2;0;0;0;6;190;87;51;26;13;4;45;0;0;13;76;21;9;6;4;1;7;0;0;2;2.5;4.1;5.7;4.3;3.3;4;6.4;10;10;6.5;346;237;196;164;114;0.213768;0.512681;0.056159;0.208333
3204;Wittenbach;3204;17;1271;232;230;234;256;305;280;191;151;127;101;242;241;270;290;293;337;325;359;297;298;305;327;277;325;301;301;222;211;187;208;116;166;90;119;43;96;27;58;19;29;307;403;127;28;5;246;80;56;10;0;0;62;136;897;320;259;66;30;248;495;0;206;55;81;56;39;17;8;52;35;0;19;2.5;11.1;5.7;6.6;3.9;3.8;4.8;14.1;10;10.8;2510;2013;1708;1597;1041;0.217978;0.503271;0.069213;0.181895
3211;Berg (SG);3211;17;88;29;25;26;37;35;31;21;19;14;13;17;17;13;15;26;31;39;41;38;36;39;30;30;32;27;25;24;27;21;16;9;11;14;6;5;5;0;2;0;0;32;35;26;5;1;24;5;3;0;0;0;5;69;18;15;7;5;3;13;20;0;16;24;5;4;3;3;1;6;4;0;5;2.9;3.6;3.8;2.3;1.7;3;2.2;5;10;3.2;249;191;172;154;103;0.145877;0.522199;0.084567;0.236786
3212;Eggersriet;3212;17;288;55;41;64;73;83;90;48;55;32;37;59;45;52;45;69;76;71;80;77;81;77;91;98;75;75;79;59;47;40;42;16;24;16;34;15;26;11;19;1;1;70;91;52;11;3;83;12;7;3;1;0;22;108;53;35;20;19;6;34;40;0;51;49;17;10;6;6;1;20;9;0;7;2.2;3.1;3.5;3.3;3.2;6;1.7;4.4;10;7.3;626;479;433;388;215;0.15191;0.497396;0.084201;0.260417
3213;Goldach;3213;17;1251;220;217;251;247;290;284;143;130;96;86;220;225;252;254;323;337;358;377;333;281;271;293;285;273;290;250;220;242;189;211;138;218;125;176;75;110;31;73;13;34;321;394;124;30;4;263;52;39;9;2;0;47;37;1708;386;277;75;39;786;419;0;212;11;76;53;40;25;7;48;48;0;12;3.4;22.5;7.3;6.9;3;5.6;16.4;8.7;10;17.7;2476;1884;1687;1503;1072;0.218797;0.514766;0.058633;0.180427
3214;Mörschwil;3214;17;443;102;97;125;103;123;113;86;56;57;37;84;90;72;77;116;115;139;142;124;131;128;115;118;104;112;96;59;52;51;61;40;43;36;44;18;26;9;9;1;5;100;174;69;24;1;106;12;9;3;0;0;13;130;346;166;47;14;6;104;26;0;81;44;37;22;9;5;2;39;10;0;5;3;9.4;7.5;5.2;2.8;3;2.7;2.6;10;16.2;967;687;669;558;318;0.100588;0.481176;0.077059;0.333529
3215;Rorschach;3215;17;3307;232;201;228;224;261;234;137;161;91;107;330;318;298;278;349;333;350;319;337;289;290;274;281;270;220;242;191;225;163;207;156;240;127;228;85;155;45;117;10;44;281;296;115;36;11;251;109;30;9;1;0;79;41;1407;532;594;327;158;634;692;0;615;4;103;56;120;72;17;97;94;0;40;10.3;13.7;9.5;5;4.5;9.3;6.5;7.4;10;15.4;2491;1873;1293;1191;947;0.312582;0.387154;0.073471;0.143863
3216;Rorschacherberg;3216;17;970;163;166;213;224;217;211;137;118;92;78;163;152;168;185;209;245;243;273;272;256;221;233;245;264;212;177;159;158;116;141;112;143;85;122;43;95;42;80;9;41;241;289;108;23;7;175;61;33;6;2;0;44;62;580;192;52;152;21;85;163;0;185;26;47;20;16;16;6;39;13;0;18;2.4;12.3;9.6;3.3;9.5;3.5;2.2;12.5;10;10.3;1886;1478;1417;1280;748;0.219886;0.494034;0.071307;0.190625
3217;Steinach;3217;17;267;84;83;89;85;71;76;53;47;35;31;71;81;84;95;144;123;148;116;107;92;90;107;117;97;77;89;87;73;65;73;60;55;32;61;14;30;16;32;3;6;108;137;40;6;0;84;24;8;2;1;0;21;84;1283;56;21;40;14;74;60;0;47;25;43;21;6;10;4;23;12;0;7;3.4;29.8;2.7;3.5;4;3.5;3.2;5;10;6.7;900;649;588;503;401;0.215067;0.529162;0.058931;0.167679
3218;Tübach;3218;17;100;36;26;33;26;33;30;19;23;13;16;30;20;27;28;46;37;43;45;38;51;46;41;35;40;43;43;26;31;28;24;15;14;13;14;5;11;2;5;0;1;37;48;18;3;1;33;3;5;1;0;0;4;15;334;98;34;16;4;64;28;0;40;6;28;19;10;3;2;12;5;0;4;2.5;11.9;5.2;3.4;5.3;2;5.3;5.6;10;10;340;275;228;216;140;0.141935;0.569355;0.032258;0.248387
3219;Untereggen;3219;17;117;47;41;43;40;42;31;18;17;12;11;17;18;17;17;41;45;45;44;41;27;21;31;33;26;20;20;21;20;15;11;12;11;9;13;5;6;4;3;1;1;25;51;23;10;2;31;9;4;0;0;0;7;81;95;22;7;9;2;2;2;0;12;36;23;5;2;4;1;2;1;0;3;2.3;4.1;4.4;3.5;2.3;2;1;2;10;4;261;197;172;153;71;0.185501;0.545842;0.053305;0.198294
3231;Au (SG);3231;17;0;185;206;164;195;205;181;128;115;86;77;192;201;238;198;253;237;300;276;264;246;215;203;205;178;193;193;203;195;120;138;89;131;66;112;40;85;29;39;9;19;267;281;98;23;1;219;66;29;5;0;0;57;34;2148;639;421;81;83;420;215;0;359;12;86;70;50;20;12;74;41;0;26;2.8;25;9.1;8.4;4.1;6.9;5.7;5.2;10;13.8;1978;1403;1145;982;713;0.236308;0.495413;0.059216;0.173756
3232;Balgach;3232;17;459;122;121;136;134;128;160;71;73;48;48;112;97;120;128;190;171;192;167;153;146;115;125;122;116;102;99;112;104;80;85;55;81;59;84;31;58;18;44;5;12;135;176;94;14;3;126;23;19;4;0;0;29;75;2261;46;161;78;27;111;157;0;160;27;72;13;17;13;4;29;21;0;11;2.8;31.4;3.5;9.5;6;6.8;3.8;7.5;10;14.5;1173;858;648;577;462;0.194354;0.505784;0.053216;0.217029
3233;Berneck;3233;17;369;82;79;120;113;136;127;85;61;56;40;83;78;94;90;120;132;137;140;122;133;123;120;111;98;92;94;77;88;59;71;39;56;39;48;29;47;11;35;10;14;116;155;65;15;3;98;25;19;5;0;1;29;136;734;294;66;67;66;206;57;0;63;44;62;29;21;12;3;29;11;0;12;3.1;11.8;10.1;3.1;5.6;22;7.1;5.2;10;5.3;962;722;558;503;359;0.187465;0.518351;0.068323;0.206663
3234;Diepoldsau;3234;17;813;177;172;180;190;205;177;112;89;75;60;179;158;170;167;224;220;232;197;183;185;173;170;151;152;147;120;94;106;69;75;61;76;52;81;33;58;13;34;5;12;214;252;115;24;3;197;41;22;3;2;0;26;207;1430;150;120;46;32;156;104;0;143;41;97;39;28;12;5;51;20;0;15;5;14.7;3.8;4.3;3.8;6.4;3.1;5.2;10;9.5;1546;1108;774;689;471;0.226394;0.515242;0.052416;0.159851
3235;Rheineck;3235;17;596;104;82;107;96;105;105;59;58;39;39;94;93;93;103;118;98;132;144;132;121;115;95;90;109;108;102;88;83;64;81;53;71;33;68;27;46;15;35;4;22;107;141;57;15;2;96;24;23;2;0;0;18;13;580;232;299;49;49;138;104;0;88;5;54;32;24;18;5;28;24;0;13;2.6;10.7;7.3;12.5;2.7;9.8;4.9;4.3;10;6.8;937;707;544;493;372;0.282496;0.469671;0.057192;0.138648
3236;St. Margrethen;3236;17;765;146;154;165;147;182;168;118;107;78;71;150;147;182;182;189;191;222;220;203;190;178;166;186;154;172;148;146;147;90;103;77;113;50;117;42;70;26;52;15;21;205;247;91;13;7;150;52;19;4;0;0;56;64;1330;598;581;300;142;110;208;0;213;18;71;87;57;30;15;42;31;0;18;3.6;18.7;6.9;10.2;10;9.5;2.6;6.7;10;11.8;1576;1135;703;643;560;0.294751;0.480014;0.047619;0.118179
3237;Thal;3237;17;979;188;179;227;209;200;222;114;112;76;74;160;146;189;187;242;232;251;261;255;239;219;193;201;191;188;154;154;136;96;138;88;84;52;91;49;78;30;53;10;28;197;299;121;22;6;190;39;33;7;2;0;34;77;1538;467;110;177;14;175;149;0;277;33;97;62;30;31;3;52;23;0;19;2.3;15.9;7.5;3.7;5.7;4.7;3.4;6.5;10;14.6;1825;1318;1072;932;662;0.193803;0.530377;0.05407;0.188943
3238;Widnau;3238;17;1236;253;244;284;260;274;236;146;142;98;94;199;216;270;257;316;310;365;345;294;275;237;225;233;208;251;213;169;167;126;142;93;140;79;112;35;81;17;46;4;14;285;365;156;29;7;223;50;43;11;2;0;65;19;1322;304;360;131;57;270;201;0;169;10;112;56;61;25;6;70;41;0;22;1.9;11.8;5.4;5.9;5.2;9.5;3.9;4.9;10;7.7;2258;1645;1384;1205;797;0.211366;0.517533;0.054414;0.185006
3251;Altstätten;3251;17;2035;273;312;359;352;363;342;213;227;142;151;357;321;349;310;392;389;419;414;362;364;351;333;387;328;298;287;223;235;198;228;148;206;126;209;86;128;41;95;14;49;356;427;186;61;20;323;65;54;10;2;0;87;423;2603;755;451;242;128;311;957;0;304;173;136;85;90;52;16;95;80;0;33;2.4;19.1;8.9;5;4.7;8;3.3;12;10;9.2;3064;2263;1011;1014;1057;0.254733;0.478588;0.061937;0.16247
3252;Eichberg;3252;17;136;37;65;54;61;58;41;24;24;16;16;39;26;32;39;53;51;62;69;59;48;46;39;42;30;34;29;16;26;17;26;13;18;19;16;4;8;3;4;0;2;49;64;35;13;0;43;8;3;2;1;0;7;72;72;27;20;27;2;5;17;0;32;32;19;8;5;6;1;2;5;0;4;2.3;3.8;3.4;4;4.5;2;2.5;3.4;10;8;375;271;255;218;116;0.248889;0.477037;0.057778;0.195556
3253;Marbach (SG);3253;17;340;58;69;80;76;95;73;37;43;25;28;52;45;49;42;61;70;78;88;69;58;62;60;60;46;42;44;36;34;28;32;20;26;20;32;7;13;5;14;0;2;59;93;46;10;6;62;6;6;1;0;0;16;89;214;82;108;32;5;20;37;0;76;24;20;19;13;8;1;6;12;0;5;3.7;10.7;4.3;8.3;4;5;3.3;3.1;10;15.2;505;382;302;274;146;0.211581;0.486637;0.071269;0.195991
3254;Oberriet (SG);3254;17;1329;272;230;275;266;233;254;169;149;112;100;254;212;254;264;323;330;361;294;299;275;247;195;202;205;218;191;176;166;135;140;102;155;77;98;49;71;24;43;10;24;265;369;176;36;14;311;32;18;5;3;0;54;386;1873;338;157;117;49;113;148;0;215;137;113;43;29;24;13;36;32;0;24;2.8;16.6;7.9;5.4;4.9;3.8;3.1;4.6;10;9;2279;1576;1048;919;691;0.248188;0.537616;0.03924;0.135466
3255;Rebstein;3255;17;723;115;116;161;132;168;154;81;79;54;53;123;99;104;140;145;164;184;155;171;159;121;122;118;134;121;120;112;102;69;80;48;87;58;60;24;54;17;31;7;13;141;184;84;23;7;118;36;25;6;0;0;31;40;347;127;168;28;30;69;110;0;88;13;40;19;24;11;3;36;18;0;10;3.1;8.7;6.7;7;2.5;10;1.9;6.1;10;8.8;1167;896;764;691;452;0.230769;0.483648;0.064026;0.175495
3256;Rüthi (SG);3256;17;256;81;53;74;76;73;74;41;41;27;27;64;56;61;47;82;74;96;97;66;75;65;66;64;58;59;39;33;41;40;35;27;32;20;34;14;25;8;19;0;3;59;106;47;7;3;69;15;6;4;2;0;12;70;771;79;21;25;9;16;36;0;40;33;29;17;8;11;2;8;10;0;3;2.1;26.6;4.6;2.6;2.3;4.5;2;3.6;10;13.3;556;398;285;252;183;0.257087;0.54741;0.040078;0.123167
3271;Buchs (SG);3271;17;3818;268;262;334;301;314;301;215;195;144;130;412;317;373;328;418;402;432;461;384;397;319;354;375;337;325;298;231;283;214;241;134;205;110;201;74;138;29;89;16;38;367;435;137;31;9;301;124;58;9;5;0;87;114;1558;945;874;294;225;607;413;0;759;37;102;97;118;36;27;126;85;0;43;3.1;15.3;9.7;7.4;8.2;8.3;4.8;4.9;10;17.7;3089;2270;1422;1314;1124;0.240203;0.470609;0.071204;0.171624
3272;Gams;3272;17;496;105;98;94;116;115;125;76;68;50;46;87;64;94;71;97;104;117;125;119;101;118;112;98;81;62;59;64;57;51;45;34;46;27;56;15;37;10;18;3;2;94;140;74;17;8;93;11;12;5;0;0;15;255;345;103;45;39;10;37;56;0;69;98;45;16;8;6;3;17;13;0;13;2.6;7.7;6.4;5.6;6.5;3.3;2.2;4.3;10;5.3;836;569;459;383;235;0.234777;0.518268;0.052097;0.17659
3273;Grabs;3273;17;985;194;182;218;183;212;231;152;130;102;87;199;152;144;144;263;239;258;278;276;250;237;236;222;218;197;161;135;114;112;125;74;110;80;108;47;89;24;56;18;40;237;270;130;34;9;210;52;26;5;2;1;40;267;1151;97;113;77;47;192;744;0;118;117;67;33;29;17;6;51;31;0;18;2.3;17.2;2.9;3.9;4.5;7.8;3.8;24;10;6.6;1908;1335;965;838;627;0.217675;0.477758;0.06465;0.199881
